clip	duration[ms]
common_voice_fa_41504591.mp3	3276
common_voice_fa_41614969.mp3	3168
common_voice_fa_41605704.mp3	3564
common_voice_fa_41505599.mp3	4212
common_voice_fa_41820388.mp3	2268
common_voice_fa_41505151.mp3	2088
common_voice_fa_41659476.mp3	5328
common_voice_fa_41643236.mp3	3924
common_voice_fa_41510094.mp3	4896
common_voice_fa_41603897.mp3	2520
common_voice_fa_41551128.mp3	2700
common_voice_fa_41700139.mp3	5076
common_voice_fa_41820254.mp3	2808
common_voice_fa_41505571.mp3	2520
common_voice_fa_41505252.mp3	2736
common_voice_fa_41716327.mp3	2376
common_voice_fa_41665590.mp3	3204
common_voice_fa_41504609.mp3	2520
common_voice_fa_41679809.mp3	2844
common_voice_fa_41504950.mp3	3096
common_voice_fa_41614979.mp3	4500
common_voice_fa_41704286.mp3	4644
common_voice_fa_41507290.mp3	3528
common_voice_fa_41504472.mp3	4212
common_voice_fa_41504493.mp3	4356
common_voice_fa_41605508.mp3	2952
common_voice_fa_41627434.mp3	6084
common_voice_fa_41505364.mp3	2412
common_voice_fa_41508085.mp3	5328
common_voice_fa_41505841.mp3	3600
common_voice_fa_41507844.mp3	3960
common_voice_fa_41659171.mp3	5328
common_voice_fa_41649405.mp3	2988
common_voice_fa_41624129.mp3	4320
common_voice_fa_41595546.mp3	2916
common_voice_fa_41595519.mp3	2988
common_voice_fa_41507698.mp3	5868
common_voice_fa_41614931.mp3	3600
common_voice_fa_41602824.mp3	3168
common_voice_fa_41700144.mp3	6156
common_voice_fa_41716347.mp3	3168
common_voice_fa_41635774.mp3	5508
common_voice_fa_41699827.mp3	2628
common_voice_fa_41622290.mp3	4104
common_voice_fa_41512311.mp3	4284
common_voice_fa_41622190.mp3	3888
common_voice_fa_41510531.mp3	3420
common_voice_fa_41504492.mp3	1656
common_voice_fa_41602853.mp3	2556
common_voice_fa_41508377.mp3	4140
common_voice_fa_41691415.mp3	3600
common_voice_fa_41520497.mp3	4824
common_voice_fa_41511437.mp3	5580
common_voice_fa_41504584.mp3	3132
common_voice_fa_41795325.mp3	3780
common_voice_fa_41504632.mp3	2736
common_voice_fa_41681433.mp3	4644
common_voice_fa_41589085.mp3	2916
common_voice_fa_41795278.mp3	1764
common_voice_fa_41595493.mp3	3096
common_voice_fa_41505290.mp3	1980
common_voice_fa_41826263.mp3	2736
common_voice_fa_41679211.mp3	5400
common_voice_fa_41875852.mp3	3312
common_voice_fa_41679806.mp3	2700
common_voice_fa_41504504.mp3	2700
common_voice_fa_41588765.mp3	2988
common_voice_fa_41510725.mp3	3888
common_voice_fa_41507224.mp3	3096
common_voice_fa_41820335.mp3	2268
common_voice_fa_41505500.mp3	3168
common_voice_fa_41505999.mp3	3024
common_voice_fa_41601523.mp3	4032
common_voice_fa_41805937.mp3	2412
common_voice_fa_41504565.mp3	2556
common_voice_fa_41589078.mp3	3780
common_voice_fa_41633488.mp3	3708
common_voice_fa_41363181.mp3	4968
common_voice_fa_41505413.mp3	2556
common_voice_fa_41614958.mp3	6516
common_voice_fa_41612464.mp3	2448
common_voice_fa_41520450.mp3	4356
common_voice_fa_41605516.mp3	4896
common_voice_fa_41635913.mp3	4068
common_voice_fa_41716365.mp3	2016
common_voice_fa_41598978.mp3	3420
common_voice_fa_41504962.mp3	1584
common_voice_fa_41622124.mp3	5256
common_voice_fa_41655658.mp3	3816
