sentence_id	sentence	locale	reason
cf039987ae25640311119f65cd1116c5860cd4d80a84eac38d5f12b4b0f71450	این پدیده‌ها وجود خدایی یگانه را ثابت می کند.	fa	grammar-or-spelling
cee6f2d4a5866a236ae884cbe85855c4233598c50a1ac3bf559636824a5f6b01	پشم این گوسفندپر از گوریدگی است.	fa	grammar-or-spelling
016670f6fc3c12d8f07d54f3c34adface98035bc621c58e06022b2681dc834e7	حظوب	fa	single word
013453e4d2efcd45ad8cd7dc46e968fa830b78d04464fda880b6bc08ddb10375	هواپیمای شکری	fa	grammar-or-spelling
013453e4d2efcd45ad8cd7dc46e968fa830b78d04464fda880b6bc08ddb10375	هواپیمای شکری	fa	difficult-pronounce
01714a7befc4e1bde94ee5c19e0b3f06c9b85a71b6e8625797137865e5ec4548	پیچ چوب	fa	difficult-pronounce
c871b76171f21a757bb2d70038b6d6e952891ddc9eba5724957588117397d7b9	بر سر میخواره برگ گل بفتالید	fa	difficult-pronounce
013e47534e439af559dfed9136d1463fa7fcc62a33583ab2816aa943fe935f68	پای مزد	fa	grammar-or-spelling
00f2b3edf589473cc7c67c14103ca27ca1631cc58555e393435a080d08343a8f	خود تراکافنده	fa	grammar-or-spelling
00f2b3edf589473cc7c67c14103ca27ca1631cc58555e393435a080d08343a8f	خود تراکافنده	fa	difficult-pronounce
016670f6fc3c12d8f07d54f3c34adface98035bc621c58e06022b2681dc834e7	حظوب	fa	difficult-pronounce
016670f6fc3c12d8f07d54f3c34adface98035bc621c58e06022b2681dc834e7	حظوب	fa	different-language
c8e356e9752f39b1eb4377918727842ef857133ab52a5f6e9ad8065c0a2dd41f	مأمورین بازرسی خامهٔ او را تفتیش کردند.	fa	grammar-or-spelling
c768f0322c7b802a1a807da4f0403cd20c5606f416bb522b921f61f9f13f6931	او در مورد پول خودش خیلی خست به خرج می‌دهد.	fa	grammar-or-spelling
4c29cb582f9e9ba98f487552b1320b77d054f42b68c112446eb2de37b9860b95	???? ?????? ? ????? ???? ????.	fa	grammar-or-spelling
d18a8206fe9cb79cbef2f84d76b8697d29956ff3cf8828a2c0e8c1c49f192860	و از زمان بازگشت اسرائلیان از بابل به فلسطین تا حکومت اسکندر ۱۴۵ سال	fa	different-language
d03fdef200044d37fe7d11868782e0fe39efaac92f253fa0064231d6b4083fe3	آن دارو مرا حسابی نشئه کرد.	fa	grammar-or-spelling
